id,texto,perfil,criado_em
1355441749007556611,"RT @daniellobo_ce: O dia chegou pra mim tb, me sinto honrado, agradecido ao SUS e a ciência
#Vacinado 
#CoronaVac 
#vacinadobutantan 
#Vaci…",wangyuenli_eu,2021-01-30 09:04:30
1355441400981106689,"Até o @iFood está fazendo mais pelos brasileiros durante a #pandemia do q o @planalto , o @minsaude , o @SenadoFederal e a @camaradeputados .
#convid #impeachmentJa #VacinaParaTodos #VacinaJa #elenao https://t.co/abiz6ctknV",Gledes_Marques,2021-01-30 09:03:07
1355438208700571649,"@tvcultura O @governosp e @MP_SP tem mandar prender esse infelizes desses pastores.
#absurdo #VacinaJa #Genesis09 #convid",Gledes_Marques,2021-01-30 08:50:26
1355437083293315076,"Cadê as vacinas????? Pfizer, Moderna, Johnson, Sputnik e outras???? Esse governo é no mínimo muito devagar. @jairbolsonaro @minsaude #ImpeachmentDeBolsonaroUrgente  #vacinajá #LiraNão https://t.co/EEdNFqYLPt",PauloRBarbosa6,2021-01-30 08:45:58
1355437048379928576,"Dicas para fazer na Quarentena! Assista https://t.co/SrelsAkk67 

Siga @FabricioViana

#vacinaja #quarentena #confinamento #tédio #pandemia #emcasa #ficaemcasa #VacinaParaTodos #videonovo #LGBTQbrasil #gay #gays #gaybrasil #vacina #Covid19 #brasil #ficadica #motivacao #boasemana https://t.co/dZbL2Ojchw",orgulho_sempre,2021-01-30 08:45:49
1355436622658097154,"RT @governosp: #VacinaJá 💉 A partir do dia 8 de fevereiro, o estado de São Paulo começa a vacinar idosos acima de 90 anos de idade, grupo f…",JonasNovinsky,2021-01-30 08:44:08
1355436075787968513,Mais uma promessa não cumprida. @jairbolsonaro #ImpeachmentDeBolsonaroUrgente  #vacinajá #LiraNão https://t.co/aKznEMJ5Bd,PauloRBarbosa6,2021-01-30 08:41:57
1355435844761505793,@VillaMarcovilla #ImpeachmentDeBolsonaroUrgente  #vacinajá #LiraNão,PauloRBarbosa6,2021-01-30 08:41:02
1355435752096747521,O ministro e o governo BOLSONARO tem culpa no colapso de Manaus. Devem ser punidos. @jairbolsonaro @minsaude #ImpeachmentDeBolsonaroUrgente  #vacinajá #LiraNão https://t.co/EapbK7G3Id,PauloRBarbosa6,2021-01-30 08:40:40
1355433127238365185,Vergonha!  Essa tática sabemos o que vai dar.... #ImpeachmentDeBolsonaroUrgente  #vacinajá #LiraNão https://t.co/5XjgTmFCwO,PauloRBarbosa6,2021-01-30 08:30:14
1355418858602041344,"O povo está morrendo aos milhares pela omissão do presidente!

#VacinaJa  #VacinaParaTodos 
#ForaBolsonaro 
#impeachmentJa  @RodrigoMaia https://t.co/zGybtPAM3f",RosadosVentos__,2021-01-30 07:33:33
1355408852968222726,"RT @Candy1Hardy: @mariosabinof O EX Presidiário resolveremos depois...
Agora é hora de :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaB…",Eduardo97162621,2021-01-30 06:53:47
1355408066724950017,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,NarahFiori,2021-01-30 06:50:40
1355407201427484673,"Como disse @vigalhardo ""o Brasil vai acabar com o efeito da vacina no mundo"" . Novas cepas podem deixar a vacina ineficiente. Então, sem perder tempo, vamos acelerar essa campanha meu povo! Não vamos desperdiçar vacinas. Bóra lá 💉🐊 #VacinaParaTodos #vacinajá https://t.co/QZNf5J76wI",fercapuvilla,2021-01-30 06:47:13
1355400375315132417,"Senhor Jesus, ponha tua mão sobre o mundo, em especial sobre o Brasil, quebra as correntes e liberta teu povo desse mal que está assolando teus filhos, Pai, creio em ti. Amém
Ladrao vem para roubar, mentir e matar, mas tú és fiel.
#impeachmentJa 
#PovoClamaporTiSenhor
#VacinaJa https://t.co/HESC0gN2hK",TiahSimone,2021-01-30 06:20:06
1355398513845219329,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",AndreGT74,2021-01-30 06:12:42
1355394285957472256,"RT @transformamp: Transforma MP, @abjdbr  e @AssociacaoAPD  acionam a justiça para que governo federal seja obrigado a comprar as 54 milhõe…",ubaldobarbosa,2021-01-30 05:55:54
1355393749501816835,#VacinaJá 🇻🇳 https://t.co/MRAKV7g8Ob,alanvictortv,2021-01-30 05:53:46
1355393440356425731,"RT @izabellapena1: @minsaude: temos Pfizer, Moderna e agora a Novavax e Janssen/J&amp;J batendo na porta. PRECISAMOS DE MAIS VACINAS NO BRASIL!…",adrianodaiprai,2021-01-30 05:52:32
1355392149718773760,"Campanha do consórcio de veículos de imprensa destaca a importância da vacinação.
“Se vacinar é cuidar de si, do outro, da família, dos amigos, da sociedade.""
#VacinaJa #vacinasim #gmtintercambio https://t.co/VNtTaTc8EB",GianaTaddeo,2021-01-30 05:47:25
1355373977477242881,"RT @levantepopular: Começando o dia com mais uma militante do Levante VACINADA
Seguimos na luta em defesa do SUS e da vida
#VacinaJa #ForaB…",abaixa_ai,2021-01-30 04:35:12
1355372773229678593,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,chucky_n0rris,2021-01-30 04:30:25
1355372618367557633,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,rosangela_bolze,2021-01-30 04:29:48
1355371336093335556,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",Vilma98662022,2021-01-30 04:24:42
1355371334021349377,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",Roger_Oliveira7,2021-01-30 04:24:42
1355370737767505925,Esses axés estão me dando uma saudade danada do carnaval e me lembrando que este ano não teremos carnaval! Te odeio covid! #BBB21 #VacinaParaTodos #VacinaJa,Re_vasconcelos,2021-01-30 04:22:20
1355370431906279427,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",gaby_lisboa,2021-01-30 04:21:07
1355369941864767489,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,igmcgoldrick,2021-01-30 04:19:10
1355369052672323589,"RT @leandraleal: Apesar dos ataques, apesar das informações falsas, A CIÊNCIA VENCEU!!! 

TEMOS VACINA EFICAZ E SEGURA! 💉 
#VacinaJa #Vacin…",BettyFaria,2021-01-30 04:15:38
1355365957359833089,"RT @randolfeap: Já estamos em contato com os executivos da Johnson&amp;Johnson no Brasil, e vamos atrás da aquisição dessa vacina para o povo b…",rafael_nadai,2021-01-30 04:03:20
1355365647677599744,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,RejaneMachado12,2021-01-30 04:02:06
1355362956716998657,#ForaBolsonaro #AcordaBrasil #Brasil #VacinaJa #VacinaParaTodos #COVID19 #Brasil https://t.co/AC4moZ57Nu,VANSANTANELLI,2021-01-30 03:51:24
1355361468263366658,@Estadao Solução simples pra esse impasse: #VacinaParaTodos #VacinaJá,vacina_urgente,2021-01-30 03:45:30
1355356870584758273,"@flaviocostaf @sorocaba 
Amor,
manda o cancelamento a merda
Vc já tá  milionário com a turma do GADO, que, aliás é tão medíocre e podre quanto o seu pres.  @jairbolsonaro e seus ""brothers"" do sertanejo
Quanto a sua música, a Covid nos presenteou com 0% dos bizarros VILLA MIX

#saude
#VacinaJa",MMfcker,2021-01-30 03:27:13
1355356782101716992,"RT @TwinPicles: O portal @Metropoles se superou, até conseguiu implantar um braço entrando na barriga de um deputado, que sentiu o soco. 😂😂…",FelipeO21787876,2021-01-30 03:26:52
1355356322838044674,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",saramartinsb_,2021-01-30 03:25:03
1355355362753466371,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",edugnunes,2021-01-30 03:21:14
1355354952084959232,"RT @Olavooliveiraof: #LiraNão 
#VacinaJa
#BolsonarosCorruptos  
#ImpeachmentDeBoisonaro https://t.co/U1PcveLTjT",TwinPicles,2021-01-30 03:19:36
1355354942085746690,"@CNNBrasil Bem, ou é essa vacina ou nada! Eu prefiro acreditar na ciência! Idosos não são seres de outro planeta! Assim que tiver disponível, vou sim vacinar meus pais! Já chega de tanto movimento antivacina! Ou vacina, ou morre! #VacinaJá #EuconfionoButantan",vacina_urgente,2021-01-30 03:19:34
1355353843945635840,"Gente essa campanha do covid no RJ que vai vacinar por idade???????? 1 idade por dia... quando vai terminar pelo amor? Todo o brasil vacinado e no Rj ainda na idade 50...

#COVID19 #VacinaJa #rj",eurosearaujo,2021-01-30 03:15:12
1355353694024445955,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",Lilian_RGi,2021-01-30 03:14:36
1355353226774786051,@randolfeap #VacinaJá #VacinaSim,vacina_urgente,2021-01-30 03:12:45
1355353226737049601,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",MaikeMC2001,2021-01-30 03:12:45
1355353160123092995,RT @danielamercury: A luta é por Vacina já! Temos que exigir que o governo compre as vacinas e cumpra com rapidez o plano completo de vacin…,M_Martim,2021-01-30 03:12:29
1355352784124608515,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",2109TaniaS,2021-01-30 03:10:59
1355352387645566978,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,2109TaniaS,2021-01-30 03:09:25
1355351802154274817,"RT @Nivea__mc: Eu e meu parceiro relaxando, depois de tomar a vacina...

#VacinaJá 
#VacinaParaTodos 
#vacinaBrasil https://t.co/qas72FmDT1",almalah1411,2021-01-30 03:07:05
1355351285390839808,"“A ciência serve para nos dar uma ideia de quão extensa é a nossa ignorância”. 
(Félicité R. de Lamennais)

#VacinaJa  
#impeachmentJa https://t.co/itU2BCLyj8",TwinPicles,2021-01-30 03:05:02
1355349454203854851,Quando a @NiteroiPref vai divulgar o calendário de vacinação dos idosos? No município do Rio esse calendário já está definido e em Niterói nada ainda. #VacinaJa,1001roteirinhos,2021-01-30 02:57:45
1355348394408030210,#gado cadê a Dancinha  pra tomar #VacinaJa @Jairbolsonaro têm razão é  só uma gripinha https://t.co/iosJtXLMpW,OPandamaria5,2021-01-30 02:53:33
1355347710757498885,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",easbarbosa,2021-01-30 02:50:50
1355346543528841224,"Homem pula da Ponte Hercílio Luz em Florianópolis,é resgatado por manezinhos que oferecem ajuda psicológica, dão o diagnóstico médico e criticam o trabalho dos bombeiros.
Puro suco do Brasil,com sotaque da ilha..
#VacinaParaTodos #coronavirus #VacinaJa #COVID19 https://t.co/i3Sk52clG8",viniitj,2021-01-30 02:46:11
1355346434648928261,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",yarasenger,2021-01-30 02:45:45
1355345810230304768,"Se as aulas voltaram nas escolas particulares tbm devem voltar na escola pública?

A Josi, companheira de mandato e professora da rede pública, me convenceu que não com um argumento: alunos de escola particular, em sua maioria, voltam para moradias de mais de 100 m². 
#VacinaJá",GuilhermeMazer1,2021-01-30 02:43:16
1355345791439798273,"RT @danyblu: #VacinaJa 
#COVID19 

Toma essa, babaca!  🤣🤣🤣
👇 https://t.co/ltejdPEHgd",irmaoslivreiro,2021-01-30 02:43:12
1355345123605946374,"RT @bcastro_denise: #Covid_19
 #VacinaJa 💉 https://t.co/qNMNflSRNY",WesleyRuas2,2021-01-30 02:40:33
1355344670700793858,Me lembro nas aulas de história que houve uma época que os profissionais de saúde e segurança tinha que entrar na casa das pessoas para vacina-los. Depois de quase 40 anos temos celular que desbloqueia lendo sua iris e o povo duvidando da pesquisa. #VacinaJa,RafaelaSandrii1,2021-01-30 02:38:45
1355344655844573184,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",idmeteor,2021-01-30 02:38:41
1355344447429619721,CURITIBA #PARANÁ NÃO TOMEM NÃO  #VacinaJa #Bolsonaro TEM #RAZÃO  VOCÊS  VÃO  FICAR COM A CARA DA BUMDA DO CHIMPANZÉS aí vamos saber  que você  são #gado  (deixa para os comunistas ),OPandamaria5,2021-01-30 02:37:52
1355342026729017344,"RT @CangaceiroNetto: Carreatas e Bicicletadas por todo o país. 
#ForaBolsonaro 
#VacinaJa
#VoltaAuxilioEmergencial

Quem vai? https://t.co/…",MVM_News,2021-01-30 02:28:14
1355341640857219074,Eu se fosse  @jdoriajr  não  dava atenção  para #RATINHO de esgoto  e  #BOLSONARO Genocida #VacinaJa,OPandamaria5,2021-01-30 02:26:42
1355341563740573697,@jdoriajr Acelera a vacinação!!!!,VacinaJa,2021-01-30 02:26:24
1355340542926852104,"RT @governosp: #VacinaJá 💉 A partir do dia 8 de fevereiro, o estado de São Paulo começa a vacinar idosos acima de 90 anos de idade, grupo f…",Rosinei34999041,2021-01-30 02:22:21
1355340312961540099,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,MarisaOSantos,2021-01-30 02:21:26
1355339403896434692,"@RevistaISTOE #QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:17:49
1355339260442902530,"Dr. Luís Carlos de Souza Ferreira, atual diretor do Instituto de Ciências Biomédicas da USP e responsável pelo Laboratório de Desenvolvimento de Vacinas para debater sobre o papel do Brasil no cenário das vacinas. #vacinaparatodos #vacinação #VacinaJa
https://t.co/50YXY4L2Q8",LuisFMSass,2021-01-30 02:17:15
1355339182919610370,"@Divergente1977 @AFernandes @Estadao E juntos a campanha :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:16:56
1355338761714991106,"Brasil tem a maior média de óbitos em 6 meses: 1.068.
#drdecioqtfilho #coronavirus #covid-19 
#vacinaja 
https://t.co/irzPy12aPD via @UOLNoticias @UOL",drdecioqtfilho,2021-01-30 02:15:16
1355338737480331268,"@mariosabinof O EX Presidiário resolveremos depois...
Agora é hora de :
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎 https://t.co/GsKw6JPCFl",Candy1Hardy,2021-01-30 02:15:10
1355338598011330567,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",MaribelSmith,2021-01-30 02:14:37
1355338341592526849,"@DaniloGentili #QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:13:36
1355337937035079683,"@PaiAsnoDecider GESUIS ! QUEQUÉISSO ??? hahahahhahaha
#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎",Candy1Hardy,2021-01-30 02:11:59
1355337922153742338,Vacina da Sinovac conseguiu neutralizar mutações do novo coronavírus | J... https://t.co/S4yJ0Ldnww @jdoriajr #CoronaVac #Sinovac #VacinaJa #VacinaParaTodos,catuaeale,2021-01-30 02:11:56
1355337428786143233,"#QueremosImpeachment
#ImpeachmentSalvaVidas
#ForaBolsonaro 
#VacinaJa
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎
𝐈𝐌𝐏𝐄𝐀𝐂𝐇𝐌𝐄𝐍𝐓 𝐁𝐎𝐋𝐒𝐎𝐍𝐀𝐑𝐎 https://t.co/cVZzMMrPXl",Candy1Hardy,2021-01-30 02:09:58
1355337120731246593,Mais uma vacina!! Notícia ótima. #VacinaJa https://t.co/v69o4TJQyj,gustavomachado,2021-01-30 02:08:45
1355337035859505156,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",thisistata,2021-01-30 02:08:24
1355336940162338816,"Entenda: por não prever dose de reforço e já ser testada no país, vacina da J&amp;J é boa notícia para vacinação no Brasil; a eficácia global é de 66%, segundo nota da farmacêutica.
#VacinaParaTodos #VacinaJa

https://t.co/1KdAFBwzAR",janetelimelo,2021-01-30 02:08:02
1355336614634000384,@CNNBrasil #VacinaJá,vacina_urgente,2021-01-30 02:06:44
1355334888967335939,@dogarrett #VacinaJá,vacina_urgente,2021-01-30 01:59:53
1355334809049051137,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",daviddealencaa,2021-01-30 01:59:34
1355333828961832960,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",DefundBolsonaro,2021-01-30 01:55:40
1355333417601290245,"RT @CangaceiroNetto: Carreatas e Bicicletadas por todo o país. 
#ForaBolsonaro 
#VacinaJa
#VoltaAuxilioEmergencial

Quem vai? https://t.co/…",marcia_gueiros,2021-01-30 01:54:02
1355332564500754439,"Hoje eu saí de casa, fui fazer umas coisas na rua. Foi muito bom, agradável, mas vi muitas pessoas desprotegidas indo pra lá e pra cá, sem ligar pra pandemia. Égua do povo doido!. Bora passar álcool gel, 70, sabão e #usemascara #FiqueEmCasa #FicaEmCasa #VacinaParaTodos #VacinaJa",Educmendonca,2021-01-30 01:50:38
1355332341942677508,"RT @CangaceiroNetto: Carreatas e Bicicletadas por todo o país. 
#ForaBolsonaro 
#VacinaJa
#VoltaAuxilioEmergencial

Quem vai? https://t.co/…",Aschlla,2021-01-30 01:49:45
1355331904850063364,"RT @CangaceiroNetto: Carreatas e Bicicletadas por todo o país. 
#ForaBolsonaro 
#VacinaJa
#VoltaAuxilioEmergencial

Quem vai? https://t.co/…",YDrascith,2021-01-30 01:48:01
1355330858723536896,@ZGotinha_ #VacinaJá,HelderCardozo,2021-01-30 01:43:52
1355330672668377090,"RT @giannazioficial: As #vacinas foram desenvolvidas em tempo recorde? Sim. Há problemas nisso? Não.

Veja o que diz uma das microbiologist…",dezah68,2021-01-30 01:43:07
1355330172510208005,RT @profterezinhaPT: #VacinaJa #ForaBolsonaro #Guarapuava https://t.co/wzGGHr2Yep,willradiohead,2021-01-30 01:41:08
1355329890120302594,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,ramir_lima,2021-01-30 01:40:01
1355328714679193603,"#LiraNão 
#VacinaJa
#BolsonarosCorruptos  
#ImpeachmentDeBoisonaro https://t.co/U1PcveLTjT",Olavooliveiraof,2021-01-30 01:35:21
1355328432306065409,"RT @joaopaulo_pcdob: #Sextou com os maiores desejos do momento. A gente até tenta mudar de assunto, mas não tem nada mais importante e urge…",LoboTeresinha,2021-01-30 01:34:13
